[2026-04-25 12:47:01.553] 框架 | 公告 | \uD83D\uDE01 欢迎使用本软件，仅供学习测试，请勿用于商业用途、违法内容等
[2026-04-25 12:47:01.553] 框架 | 公告 | ● 官网、开发文档、购买授权、常见问题：https://www.cnblogs.com/daen/p/-/qxpro
[2026-04-25 12:47:01.553] 框架 | 公告 | ● 最新版本、SDK、DEMO下载：https://daen.lanzoue.com/b01hsujsj
[2026-04-25 12:47:01.553] 框架 | 公告 | ● 如果登录微信后，微信管理不显示，请查看【官网】的【常见问题】
[2026-04-25 12:47:01.951] 框架 | 提示 | [HTTPAPI服务端]已启动，端口[7777]，回调地址[]
[2026-04-25 12:47:01.958] 框架 | 提示 | [WebSocket服务端]已启动，端口[7778]
[2026-04-25 12:51:10.939] 框架 | 提示 | 已尝试启动微信，请等待微信窗口拉起...如果长时间不见微信窗口，请查看官网常见问题解决
[2026-04-25 12:51:12.373] 框架 | 提示 | 微信启动成功[2dkuuXUxxLs5mumR.dll]，端口[7293]，等待登录...
[2026-04-25 12:51:12.749] 框架 | 提示 | 注入成功，端口[7293]，pid[19896]
[2026-04-25 13:02:39.975] 框架 | 提示 | 大雄(wxid_rebkby3xuet022)的授权已到期，请续费后使用，到期时间：2026-04-25 13:02:41
[2026-04-25 13:02:39.994] 框架 | 账号上线 | 微信账号上线，昵称[大雄]，wxid[wxid_rebkby3xuet022]，端口[7293]，授权到期时间[2026-04-25 13:02:41]
[2026-04-25 13:02:39.994] 框架 | 提示 | 将在10秒后开始处理事件和消息……
[2026-04-25 13:17:14.830] 框架 | 提示 | 大雄(wxid_rebkby3xuet022)的授权已到期，请续费后使用，到期时间：2026-04-25 13:02:41
[2026-04-25 13:21:49.885] 框架 | 提示 | 大雄(wxid_rebkby3xuet022)的授权已到期，请续费后使用，到期时间：2026-04-25 13:02:41
[2026-04-25 13:23:15.774] 框架 | 提示 | [WebSocket客户端]连接中，请稍等...
[2026-04-25 13:23:45.798] 框架 | 错误 | [WebSocket客户端]连接失败
[2026-04-25 13:23:48.366] 框架 | 提示 | [WebSocket客户端]连接中，请稍等...
[2026-04-25 13:24:18.698] 框架 | 错误 | [WebSocket客户端]连接失败
[2026-04-25 13:35:25.415] 框架 | 提示 | [WebSocket客户端]连接中，请稍等...
[2026-04-25 13:35:55.535] 框架 | 错误 | [WebSocket客户端]连接失败
[2026-04-25 13:36:04.759] 框架 | 提示 | [WebSocket客户端]连接中，请稍等...
[2026-04-25 13:36:35.112] 框架 | 错误 | [WebSocket客户端]连接失败
[2026-04-25 13:40:19.600] 框架 | 提示 | [WebSocket客户端]连接中，请稍等...
[2026-04-25 13:40:35.625] 框架 | 提示 | 大雄(wxid_rebkby3xuet022)的授权已到期，请续费后使用，到期时间：2026-04-25 13:02:41
[2026-04-25 13:40:44.861] 框架 | 提示 | 大雄(wxid_rebkby3xuet022)的授权已到期，请续费后使用，到期时间：2026-04-25 13:02:41
[2026-04-25 13:40:54.868] 框架 | 错误 | [WebSocket客户端]连接失败
[2026-04-25 13:41:08.536] 框架 | 提示 | 大雄(wxid_rebkby3xuet022)的授权已到期，请续费后使用，到期时间：2026-04-25 13:02:41
[2026-04-25 13:47:44.067] 框架 | 账号下线 | 微信账号下线，wxid[wxid_rebkby3xuet022]，端口[7293]
